"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"4","145","What can be interpreted about instruction type if control statement is D7I’T3?","c","1","direct address memory instruction","indirect address memory instruction","register reference instruction","I/O reference instruction","",""
"4","146","State setting condition of R flipflop in interrupt cycle.","","2","","","","","",""
"4","147","Explain execution time for following instruction with example: a) BSA b) SNA","","4","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"4","148","Which of following pair match correct?
1. 5 9 2 4 + - *                   p. 6
2. ISZ                                q. D5T5
3. BSA                              r. D6T6
4. CMA                             s. 15
5. postfix                           t. reverse polish
6. SP bit size                     u. rB9","d","1","(1,p), (2,r), (3,t), (4,q), (5,s), (6,s)","(1,s), (2,r), (3,q), (4,u), (5,p), (6,r)","(1,t), (2,r), (3,q), (4,q), (5,p), (6,p)","(1,s), (2,r), (3,q), (4,u), (5,t), (6,p)","",""
"4","149","What will be the contents of processor register after execution of following
code?
Location        Instruction 010        CLA
011        ADD 016
012        BUN 014
013        HLT
014        AND 017
015        BUN 013
016        C1A5
017        93C5","a","1","8184","8185","C1A5","93C5","",""
"4","150","What will be the contents of processor register after execution of following
code?
LocationInstruction 010CLA
011AND 016
012BUN 014
013HLT
014CMA
015BUN 013
016C1A5
01793C5","c","1","8184","8185","FFFF","93C6","",""
"4","151","What will be the contents of processor register after execution of following
code?
Location        Instruction 010        CLA
011        AND 016
012        BUN 014
013        HLT
014        ADD 017
015        BUN 013
016        C1A5
017        93C5","d","1","8184","8185","C1A5","93C5","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"4","152","Which of the following control bit is used for checking occurrence of
interrupt?","a","1","IEN","ION","IOF","SKI","",""
"4","153","Which of the following instruction is used for enabling interrupt?","b","1","IEN","ION","IOF","SKI","",""
"4","154","Which of the following instruction is used for disabling interrupt?","c","1","IEN","ION","IOF","SKI","",""
"4","155","Explain effect of before and after interrupt execution with an example.","","4","","","","","",""
"5","156","Write assembly language program to add two numbers.","","3","","","","","",""
"5","157","Write assembly language program to multiply two numbers.","","5","","","","","",""
"5","158","Write assembly language program to subtract one number from other
number.","","5","","","","","",""
"5","159","Write an Assembly level program to move one block of data to another
location.","","7","","","","","",""
"5","160","Write an Assembly level program for addition of 50 numbers.","","6","","","","","",""
"5","161","Write an assembly language program to find whether the given number is
prime or not.","","6","","","","","",""
"5","162","Write an assembly language program to find factorial of the given number.","","6","","","","","",""
"5","163","Write a program to evaluate the arithmetic statement: A*B+C*D+E
i. Using an accumulator type computer.
ii. Using a stack organized computer.","","5","","","","","",""
"5","164","Write ALP for addition of 10 numbers","","5","","","","","",""
"5","165","Write an assembly language program to find average of 15 numbers stored
at consecutive location inmemory.","","5","","","","","",""
"5","166","Write an assembly language program to find the Fibonacci series up to the
given number.","","6","","","","","",""
"5","167","Write assembly language program to add two double precision numbers.","","5","","","","","",""
"5","168","The following program is store d in the memory unit of basic computer.
Show the contents of AC, PC, IR at the end after execution of each instruction.All numbers listed below in hex.
Location       Instruction 010                CLA
011                ADD 016
012                BUN 014
013                HLT
014                AND 017
015                BUN 013
016                C1A5
017                93C6","","3","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"5","169","The following program is alist of instructions in hex code. The computer executes the instructions starting from address 100. What are the content of  AC and the memory word at address 103 when computer halts?
Location       Instruction
100                5103
101                7200
102                7001
103                0000
104                7800
105                7020
106                C103","","3","","","","","",""
"5","170","List the assembly program generated by compiler from the following program. Assume integer variables.
SUM=0
SUM = SUM +A+B DIF=DIF-C
SUM = SUM + DIF","","5","","","","","",""
"5","171","List the assembly program generated by compiler from the following IF
statement:
IF(A-B) 10,20,30
the program branches to statement 10 if A-B <0; to statement 20 if A-B=0; and to
statement 30 if A-B>0.","","5","","","","","",""
"5","172","Write a program loop, using a pointer and a counter that clears to 0 the
contents of hexadecimal locations 500 through 5FF.","","5","","","","","",""
"5","173","Write a program to multiply two positive numbers by a repeated addition
method.","","6","","","","","",""
"5","174","Write a program to multiply two unsigned positive numbers, each with 16
bits, to produce an unsigned double precision product.","","7","","","","","",""
"5","175","Write a program to substract two double precision numbers.","","5","","","","","",""
"5","176","Write a program that evaluates XOR of two logic operands.","","4","","","","","",""
"5","177","Write a program that evaluates OR of two logic operands.","","4","","","","","",""
"5","178","Write a program that evaluates XNOR of two logic operands.","","4","","","","","",""
"5","179","Write a program that evaluates NOR of two logic operands.","","4","","","","","",""
"5","180","Write a program that evaluates circular left shift of an operand","","3","","","","","",""
"5","181","Write a program that evaluates circular right shift of an operand","","3","","","","","",""
"5","182","Write a program that evaluates arithmetic shift left of an operand","","3","","","","","",""
"5","183","Write a program that evaluates arithmetic shift right of an operand","","3","","","","","",""
"5","184","Write a subroutine to circulate E and AC four times to right. If AC contains
079C in hex and E=1 what are contents of AC and E after subroutine is executed?","","2","","","","","",""
"5","185","The program that translates a assembly language into machine language is
called          ","B","1","Compiler","Assembler","Translator","Coder","",""
"5","186","The program that translates a high level language language into machine
language is called          ","A","1","Compiler","Assembler","Translator","Coder","",""
"5","187","Which of the following is not a pseudoinstructions?","C","1","ORG","DEC","HLT","HEX","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"5","188","Which of the following is true for symbolic address?
1. It consists of one, two, or three but not more than three alphanumeric characters.
2. It is terminated with comma in the label field.
3. The first letter must be a letter and next two may be letters or numerals.","A","1","Only 1","Only 2","Only 3","All are true","",""
"5","189","Which are the fields in assembly language?","Label, Instruction, Comment","1","","","","","",""
"5","190","A          is defined as an instruction that does not have an address part.","C","1","MRI","Pseudoinstruction","Non-MRI","None of these","",""
"5","191","           Instructions are translated during second pass by means of table look
up procedures","B","1","High level program","Machine","MRI","None of these","",""
"5","192","A set of common instructions that can be used in program many times is
called         ","A","1","CALL","JUMP","Subroutine","Loop","",""
"5","193","Which of Following instruction used to link between main program and a
subroutine?","A","1","BUN","BSA","SKI","SKO","",""
"5","194","The        Instruction checks the input flag to see if character is available to
transfer.","B","1","BUN","SKI","BSA","SKO","",""
"5","195","A bus oragnised CPU has 16 registers with 32 bits each, an ALU and a
destination Decoder.
1. How many Multiplexer are there in the A bus and what is the size of each multiplexers?
2. How many selection inputs are needed for MUX A and MUX B?
3. How many inputs and outputs are there in decoder?
4. How many inputs and outputs are there in ALU for data including input and output carries?
5. Formulate a control word for the system assuming that ALU has 35
operations.","","4","","","","","",""
"5","196","Specify the control word that must be applied to processor to implement the following microoperations.
1. R1<-- R2 + R3          2. R5<--- R5-1       3. R6<--- shl R1      4.  R7<--- input","","4","","","","","",""
"5","197","Determine the microoperations that will be executed in the processor when 14 bit control word is applied
1.  00101001100101     2. 01001001001100   3. 00000100000010
4. 11110001110000","","4","","","","","",""
"5","198","Let SP = 000000 in the stack. How many items are there in the stack if:
1. FULL =1 and EMTY = 0?
2. FULL = 0 and EMTY = 1?","","2","","","","","",""
"5","199","Convert the following arithmetic expressions to reverse polish notation.
a. A*B+A*(B*D + C*E)           b. A+ B*[C*D +E*(F+G)]
c.  [A*[B+C*(D+E)]]/[F*(G+H)]","","3","","","","","",""
"5","200","Convert the following arithmetic expressions from reverse polish notation.
a. A B C D E * / - +          b.  A B C * / D - E F / +
c.  A B C D E F G +*+*+*","","3","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"5","201","Evaluate 623+-382/+*2^3+","","2","","","","","",""
"6","202","A processor has 300 distinct instructions and 70 general-purpose registers. A 32-bit instruction word has an opcode, two register operands, and an immediate operand. The number of bits available for the immediate
operand field is           ","B","1","8","9","6","7","",""
"6","203","Only instructions with zero, one, and two addresses are supported by some CPUs. The size of an op-code is 16 bits, whereas the size of an address is 4 bits.What is the Maximum number of two address instructions?","C","1","128","512","256","64","",""
"6","204","A computer has an instruction size of 16 bits and has 16 programmer visible registers. Each instruction has two source and one destination operands and uses only register direct addressing. The maximum number of opcodes that
this processor can have is","A","1","16","8","32","64","",""
"6","205","Consider a 32-bit processor which supports 30 instructions. Each instruction is 32 bit long and has 4 fields namely opcode, two register identifiers and an immediate operand of unsigned integer type. Maximum value of the immediate operand that can be supported by the processor is 8191. How many registers the processor has?","B","1","64","128","256","512","",""
"6","206","A processor has 64 registers and uses 16-bit instruction format. It has two types of instructions: I-type and R-type. Each I-type instruction contains an opcode, a register name, and a 4-bit immediate value. Each R-type instruction contains an opcode and two register names. If there are 8 distinct I-type opcodes, then the maximum number of distinct R-type
opcodes is               .","A","1","14","16","18","19","",""
"6","207","A computer uses a memory unit of 512 K words of 32 bits each. A binary instruction code is stored in one word of the memory. The instruction has four parts: an addressing mode field to specify one of the two-addressing mode (direct and indirect), an operation code, a register code part to specify one of the 256 registers and an address part. How many bits are there in addressing mode part, opcode part, register code part and the
address part?","1,4,8,19","2","","","","","",""
"6","208","Consider the following :1) Operation code     2) Source operand reference
3) Result operand reference   4) Next instruction reference, Which of the above are typical elements of machine instructions?","D","1","1,2,3 ONLY","1 AND 2 ONLY","2 ,3,4 ONLY","1,2,3,4","",""
"6","209","A machine has a 32-bit architecture, with 1-word long instructions. It has 64 registers, each of which is 32 bits long. It needs to support 45 instructions, which have an immediate operand in addition to two register operands.
Assuming that the immediate operand is an unsigned integer, the maximum value of the immediate operand is            ","16383","1","","","","","",""
"6","210","A processor has 40 distinct instructions and 24 general purpose registers. A 32-bit instruction word has an opcode, two register operands and am immediate operand. The number of bits available for the immediate
operand field is             .","C","1","8","32","16","64","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"6","211","A Computer uses a memory unit with 256K word of 32 bits each. A binary instruction code is stored in one word of memory. The instruction has four parts: an indirect bit, an operation code and a register code part to specify one of 64 registers and an address part. How many bits are there in operation code, the register code part and the address part?","B","1","7,7,18","7,6,18","6,7,18","6,6,18","",""
"6","212","A stack-based CPU organization uses               address instructions","D","1","2","1","3","0","",""
"6","213","In X = (M + N × O) / (P × Q), how many one-address instructions are required
to evaluate it?","8","1","","","","","",""
"6","214","Match the pairs in the following questions:
(A) Base addressing               (p) Reentranecy
(B) Indexed addressing          (q) Accumulator
(C) Stack addressing              (r) Array
(D) Implied addressing          (s) Position independent","C","1","A-R,B-S,C-P,D-Q","A-S, B-R,C-Q,D-P","A-S, B-R,C-P,D-Q","A-Q, B-R,C-S,D-P","",""
"6","215","When we use auto increment or auto decrements, which of the following
is/are true?
1) In both, the address is used to retrieve the operand and then the address gets altered
2) In auto increment the operand is retrieved first and then the address altered
3) Both of them can be used on general purpose registers as well as
memory locations","A","1","1 & 3","2","1& 2","All are true","",""
"6","216","State whether the following statements are true or false.
I. With one-address instructions, the programmer generally has available only one general-purpose register the accumulator.
II. Zero-address instruction are applicable to a special memory organization
called a stack.","D","1","Only I is true","only II is true","both are false","both are true","",""
"6","217","Following instructions were executed on a stack machine
PUSH X PUSH X MUL POP Y PUSH Y PUSH Y ADD PUSH Y MUL POP Z
What is value of Z?","2x^4","2","","","","","",""
"6","218","Which is used to store critical pieces of data during subroutines and
interrupts:","B","1","QUEUE","STACK","ACCUMULATOR","DATA REGISTER","",""
"6","219","Which one of the following is a special characteristic of RISC processor?","D","1","Provide direct manipulation of operands residing in
memory","A large variety of addressing modes","Variable length instruction formats","Overlapped register window","",""
"6","220","RISC stands for:","C","1","Remaining Instruction Set of Compiler","Remaining Intermediate Storage
of Computer","Reduced Instruction Set Computer","Reduced Instruction Set Complier","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"6","221","A computer has 32 bit instructions and 12 bit addresses. if there are 250
two address instructions, how many one address instrcutions can be formulated?","","3","","","","","",""
"6","222","The memory unit of a computer has 256K words of 32 bits each. The
computer has an instruction format with four fields: an operation code field, a mode field to specify one of seven addressing modes, a register address field to specify one of the 60  processor registers, and a memory address.
Specify the instruction format and the number of bits in each field if the
instcution is in one memory word.","","3","","","","","",""
"6","223","A two word instrcution is stored in memory at an address designated by thw
symbol W.The adddress field of the instrcution stored at W+1 is designated by symbol Y. The operand used during the execution of the instruction is stored at an address symbolised by Z. An index Register contains value X.State how Z is calculated from other addresses if addressing modes of instruction is
a. direct
b. indirect
c. relative
d. indexed","","5","","","","","",""
"6","224","An instruction is stored at location 300 with its address field at location 301.
the address field has the value 400. A processor register R1 contains the number 200. Evalaute effective address if addressing mode of the instruction is direct, immediate, relative, register indirect, index with R1 as index register.","","3","","","","","",""
"6","225","Perform logic AND, OR, XOR with two binary strings 10011100 and
10101010","","2","","","","","",""
"6","226","Given the 16 bit value 1001101011001101. What operation must be performed in under to:
a. clear to 0 the first eight bits.
b. set to 1 the last eight bits
c. complement the middle eight bits.","","3","","","","","",""
"6","227","An 8 bit register contains the value 01111011 and carry bit is equal to 1. Perform all shift operations.Each time start from initial value given above","","4","","","","","",""
"6","228","Represent the following signed numbers in binary using 8 bits. +83 ; -83;
+68; -68
a. Perform the addition -83 + (+68) in binary and interpret the result obatined.
b. Perform the substraction (-68)-(+83) in binary and indicate if there is an overflow.
c. Shift binary -68 once to the right and convert in decimal.
d. Shift -83 once to left and indicate if there is an overflow.","","6","","","","","",""
"6","229","Show the circuit labeled in check for zero output is an 8 bit NOR gate","","2","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"6","230","A 8 bit computer has a register R. Determine the values of status bit C, S,Z,V after each of the following instructions. The initial vlaue of register R in each case is hexadecimal 72. the numbers below are also in hexadecimal.
a. Add immediate operand C6 to R.
b. Add immediate operand 1E to R.
c. Substract immediate operand 9A from R.
d. And immediate operand 8D from R.
e. XOR R with R.","","7","","","","","",""
"6","231","Consider the two 8 bits A= 01000001 and B= 10000100.
a. Give the decimal equivalen of each number assuming tht they are unsigned and they are signed.
b. Add two binary  numbers and  inetrpret sum assuming that numbers are unsigned and signed.
c. Determine values of C,S, Z, V after addition.
d. List conditional branch instrcution thet will have true condition.","","7","","","","","",""
"6","232","Consider the two 8 bits A= 01000001 and B= 10000100.
a. Evaluate the difference A-B and interpret binary result.
b. Determine values of C,S,Z,V
c. List conditional branch instrcution thet will have true condition.","","7","","","","","",""
"6","233","What are basic differences between a branch instruction, a call instruction
and a program interrupt?","","3","","","","","",""
"6","234","The content of the top of a memory stack is 5320. The content of the stack
pointer SP is 3560. A two word call subroutine instruction is located in memory addresses 1120 followed by address field of 6720 at location 1121. What are contents of PC,Sp,and the top of Stack:
a. before the call instruction is fetched from memory?
b. After call instruction is executed?
c. After return from subroutine?","","4","","","","","",""
"6","235","Write a program to evaluate the arithmethic statement: X = [A-B+C*(D*E-F)]/[G+H*K]
Using a. one address instruction, two address instruction, three address
instruction, zero address instruction","","7","","","","","",""
"6","236","The computer use register windows with following charcteristics. Determine the window size and total number of registers.
Global Registers= 8 ; Local Registers = 8 ; Common Registers = 8; Number of
Windows = 4","","2","","","","","",""
"6","237","The computer use register windows with following charcteristics. Determine
the window size and total number of registers.
Global Registers= 10 ; Local Registers = 10 ; Common Registers = 6; Number of Windows = 8","","2","","","","","",""
"6","238","The computer use register windows with following charcteristics. Determine the window size and total number of registers.
Global Registers= 16 ; Local Registers = 16 ; Common Registers = 16;
Number of Windows = 16","","2","","","","","",""
"6","239","Write a program to evaluate the arithmethic statement: Y = A*B + C* D
Using a. one address instruction, two address instruction, three address
instruction, zero address instruction","","7","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"7","240","Pipelining is a                technique?","b","1","serial","parallel","Scalar operation","Superscalar operation","",""
"7","241","The initial stage for an instruction executing in pipelining is       ?","c","1","Decode","Execute","Fetch","Address generation.","",""
"7","242","The stages of 3 stage pipelining are     ?","a","1","Fetch, Decode,
Execute","Decode, Fetch,
Execute","Execute, Fetch,
Decode","none of the above","",""
"7","243","Throughput is calculated as----","a","1","The number of instructions/ Total time to complete the
instructions","Total time to complete the instructions/number
of instructions","Speed of the processor/ Number of instructions","The number of instructions/speed of the processor","",""
"7","244","By using pipelining, the throughput of the processor     ?","c","1","decreases","becomes unity","Increases","Remains the same.","",""
"7","245","Which of the below is not a pipeline conflicts?","d","1","resource conflicts","data dependency","branch difficulties","Balancing of load","",""
"7","246","Which of the following is an advantage of pipelining?","d","1","Instruction throughput increases.","Faster ALU can be designed when pipelining is used.","Pipelining increases the overall performance of the
CPU.","All of the above","",""
"7","247","which of the following is not a part of flynn's classification?","a","1","SIDD","SISD","MISD","SIMD","MIMD","NONE"
"7","248","RISC processor contains 10 global registers,10 local registers,6 in registers and 6 out registers.it contains 3 register windows,what is the size of window
and register file of the processor?","b","1","30 and 74","32 and 58","22 and 64","26 and 58","22 and 70","32 and 72"
"7","249","which is the correct pipeline pattern for RISC pipeline structure?","a","1","I,A,E","I,E,A","FI,DA,FO,EX","A,I,E","FI,DA,EX,FO","NONE of the above"
"7","250","How many clock cycles will be needed to execute  Ai+Bi*Ci statement in
pipeline architecture for i=1,2,3?","d","1","8","1","0","5","9","12"
"7","251","which of the following stage is not a part of instruction pipeline?","a","1","DI","FO","EX","FI","IA","DA"
"7","252","In an arithmatic pipeline,the time delays of 4 segments are 6,7,10 and 8ns respectively.the delay of tr=1ns.the clock cycle time(tp)is------","c","1","6","7","11","9","12","8"
"7","253","for large number of task in a pipeline structure,speed-up ratio is nearly
equivalent to?","d","1","no of tasks","no of registers","no of operands","no of segments","no of instructions","none of the above"
"7","254","In arithmetic pipeline floating point addition is done in         part","a","1","3","2","1","5","4",""
"7","255","           represents an organization that includes many processing units
under the supervision of a common control unit","c","1","SSMD","MISD","SIMD","SISD","MIMD",""
"7","256","Which processor requires more number of registers?","d","1","SIMD","8085","CISC","RISC","NONE","ALL OF THE ABOVE"
"7","257","which of the following is not a pipeline conflicts?","d","1","branching","load balancing","time variation","data dependency","both b and d","both a and b"
"7","258","Each stage in pipelining should be completed within                         cycle.","a","1","1","2","3","4","",""
"7","259","The RISC processor has a more complicated design than CISC.","A","1","FALSE","TRUE","","","",""
"7","260","In pipelining the task which requires the least time is performed first.","b","1","TRUE","FALSE","","","",""
"7","261","To increase the speed of memory access in pipelining, we make use of","D","1","Special memory
locations","Special purpose
registers","Buffers","Cache","",""
"7","262","Both the CISC and RISC architectures have been developed to reduce the","C","1","Cost","Time delay","Semantic gap","All of the mentioned","",""
"7","263","The computer architecture aimed at reducing the time of execution of
instructions is                  ","A","1","RISC","CISC","ISA","SIMD","",""
"7","264","consider a pipeline having 4 phases with duration 60ns,50ns,90ns,80ns,given delay is 10ns. (1) calculate pipeline cycle time (2) non pipelineexecution time (3) speedup ratio(4) total non pipeline time for
1000 task(5) pipeline time for 1000 task","","4","","","","","",""
"7","265","arithmetic operation (Ai *Bi + Ci) with a stream of seven numbers (i=1 to
7). Specify a pipeline configuration to carry out this task.","","4","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"7","266","A non-pipeline system takes to process a task. The same task can be processed in a six segment pipeline with a clock cycle of 10ns. Determine the speedup ratio of the pipeline for 100 tasks.What is the maximum speed
up that can be achieved?","","4","","","","","",""
"7","267","Draw a space-time diagram for a six -segment pipeline showing the time it
takes to process eight tasks","","4","","","","","",""
"7","268","For arithmetic operation (Ai+Bi)(Ci+Di) with a stream of numbers.Specify a
pipeline  configuration to carry out this task.List the content of all registers in the pipeline for i=1 through 6","","4","","","","","",""
"8","269","1’s complement of 1011101 is                           ","c","1","101110","1001101","100010","1100101","",""
"8","270","2’s complement of 11001011 is                           ","c","1","1010111","11010100","110101","11100010","",""
"8","271","On subtracting (01010)2 from (11110)2 using 1’s complement, we get","d","1","1001","11010","10101","10100","",""
"8","272","On subtracting (001100)2 from (101001)2 using 2’s complement, we get","b","1","1101100","11101","11010101","11010111","",""
"8","273","On addition of 28 and 18 using 2’s complement, we get                           ","b","1","101110","101110","101111","1001111","",""
"8","274","On addition of +38 and -20 using 2’s complement, we get                           ","c","1","11110001","100001110","10010","110101011","",""
"8","275","On addition of -46 and +28 using 2’s complement, we get                           ","a","1","-10010","-101","1011","100101","",""
"8","276","On addition of -33 and -40 using 2’s complement, we get                           ","d","1","1001110","-110101","110001","-1001001","",""
"8","277","On subtracting +28 from +29 using 2’s complement, we get                           ","d","1","11111010","111111001","100001","1","",""
